,image_path,uniq_id,label,First_category,image,width,height,definition,image_224x224
20,../Data\Images\d7ca2b06b4f4d3b98c61c377b18a2d6b.jpg,d7ca2b06b4f4d3b98c61c377b18a2d6b,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=552x734 at 0x1580F3F8590>,552,734,405168,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F8150>
21,../Data\Images\f74476ba64365d97a5be7d375cbf4c7a.jpg,f74476ba64365d97a5be7d375cbf4c7a,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=550x1000 at 0x1580F3F8950>,550,1000,550000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F8510>
22,../Data\Images\fda50982a672ef8835de5c1cc86f8bfc.jpg,fda50982a672ef8835de5c1cc86f8bfc,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=517x1000 at 0x1580F3F8D10>,517,1000,517000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F88D0>
23,../Data\Images\4788f5466992da09024b8ffcc8a5cba4.jpg,4788f5466992da09024b8ffcc8a5cba4,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1095x1458 at 0x1580F3F90D0>,1095,1458,1596510,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F8C90>
24,../Data\Images\653826cd53f1d9e2c086c0ac7846ef70.jpg,653826cd53f1d9e2c086c0ac7846ef70,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=328x508 at 0x1580F3F9490>,328,508,166624,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F9050>
25,../Data\Images\3c74db45cbfc14a78b8466dca494b3bb.jpg,3c74db45cbfc14a78b8466dca494b3bb,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=317x511 at 0x1580F3F9850>,317,511,161987,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F9410>
26,../Data\Images\4aa047f14885c74f155ce5f973e14dff.jpg,4aa047f14885c74f155ce5f973e14dff,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=261x400 at 0x1580F3F9D50>,261,400,104400,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F97D0>
27,../Data\Images\7c4fec2331da8d40f2cb146eb198cb57.jpg,7c4fec2331da8d40f2cb146eb198cb57,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=321x619 at 0x1580F3FA250>,321,619,198699,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3F9CD0>
28,../Data\Images\b52073e7ed9c00c4108cae4eb0c49c1a.jpg,b52073e7ed9c00c4108cae4eb0c49c1a,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=711x1304 at 0x1580F3FA750>,711,1304,927144,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FA1D0>
29,../Data\Images\ee8d9ff65e0fe4278afce7c933d30941.jpg,ee8d9ff65e0fe4278afce7c933d30941,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=702x1109 at 0x1580F3FAC50>,702,1109,778518,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FA6D0>
30,../Data\Images\788dc3a3da91c0f46a7c465e07f91dd4.jpg,788dc3a3da91c0f46a7c465e07f91dd4,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=358x1311 at 0x1580F3FB150>,358,1311,469338,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FABD0>
31,../Data\Images\29b1ca231e10d5269516b80bf9d0dffc.jpg,29b1ca231e10d5269516b80bf9d0dffc,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1257x2049 at 0x1580F3FB650>,1257,2049,2575593,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FB0D0>
32,../Data\Images\8b268c1e68f198ae2e934717d49f48e9.jpg,8b268c1e68f198ae2e934717d49f48e9,6,Watches,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=684x1187 at 0x1580F3FBB50>,684,1187,811908,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FB5D0>
33,../Data\Images\b85f8843bb1c297dd5712f0bd287006d.jpg,b85f8843bb1c297dd5712f0bd287006d,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x1100 at 0x1580F400050>,1100,1100,1210000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FBAD0>
34,../Data\Images\a4b09aa7927c59fbb39960b3d7919909.jpg,a4b09aa7927c59fbb39960b3d7919909,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x848 at 0x1580F400590>,1100,848,932800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F3FBB10>
35,../Data\Images\81e739c7f3be737152f2e6f520e3494b.jpg,81e739c7f3be737152f2e6f520e3494b,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x926 at 0x1580F400A90>,1100,926,1018600,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F400510>
36,../Data\Images\f0938b0d88eac91deee6d5add54097d3.jpg,f0938b0d88eac91deee6d5add54097d3,3,Home Decor & Festive Needs,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2182x949 at 0x1580F400F90>,2182,949,2070718,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F400A10>
37,../Data\Images\e9420e9483f16db81c64dddf99f34841.jpg,e9420e9483f16db81c64dddf99f34841,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x1184 at 0x1580F401490>,1124,1184,1330816,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F400F10>
38,../Data\Images\a3dea07b2f7bf48276d32513091be717.jpg,a3dea07b2f7bf48276d32513091be717,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1500x1500 at 0x1580F401990>,1500,1500,2250000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F401410>
39,../Data\Images\66191b4a311b5d9babfc00a71ef97c5b.jpg,66191b4a311b5d9babfc00a71ef97c5b,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1280x1248 at 0x1580F401E90>,1280,1248,1597440,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F401910>
40,../Data\Images\90e56526f4c5892beac49f262b85150a.jpg,90e56526f4c5892beac49f262b85150a,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=610x1065 at 0x1580F402390>,610,1065,649650,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F401E10>
41,../Data\Images\a79117ea49a0533f641facdb4c99f502.jpg,a79117ea49a0533f641facdb4c99f502,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1500x685 at 0x1580F402890>,1500,685,1027500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F402310>
42,../Data\Images\5325213d84c80ad310b6e4b37a1ac824.jpg,5325213d84c80ad310b6e4b37a1ac824,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=607x1057 at 0x1580F402D90>,607,1057,641599,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F402810>
43,../Data\Images\2d50e4c6ccf8befe9335ac8f97a11712.jpg,2d50e4c6ccf8befe9335ac8f97a11712,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=409x1100 at 0x1580F403290>,409,1100,449900,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F402D10>
44,../Data\Images\8050d31bffe6827c804b8222338aafb2.jpg,8050d31bffe6827c804b8222338aafb2,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1088x1100 at 0x1580F403790>,1088,1100,1196800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F403210>
45,../Data\Images\493d1eb6ad7a48a926092bf994cd0bb0.jpg,493d1eb6ad7a48a926092bf994cd0bb0,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1088x1100 at 0x1580F403C90>,1088,1100,1196800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F403710>
46,../Data\Images\3388d05e88972ff9f3e1321dc0cfdc28.jpg,3388d05e88972ff9f3e1321dc0cfdc28,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1088x1100 at 0x1580F40C1D0>,1088,1100,1196800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F403C10>
47,../Data\Images\d1899ab1d5c79ddaa311bc9f04d198ed.jpg,d1899ab1d5c79ddaa311bc9f04d198ed,2,Computers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x748 at 0x1580F40C6D0>,1100,748,822800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40C150>
48,../Data\Images\e7cab08a267e815c72a26513222783e0.jpg,e7cab08a267e815c72a26513222783e0,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1088x1100 at 0x1580F40CBD0>,1088,1100,1196800,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40C650>
49,../Data\Images\02a53d335775b652f22f41b529b9d646.jpg,02a53d335775b652f22f41b529b9d646,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x1100 at 0x1580F40D0D0>,344,1100,378400,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40CB50>
50,../Data\Images\69446af66066146718cd569f87e99fff.jpg,69446af66066146718cd569f87e99fff,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x1095 at 0x1580F40D5D0>,1100,1095,1204500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40D050>
51,../Data\Images\b4d35b6536b623c83b293eb3a1c02bba.jpg,b4d35b6536b623c83b293eb3a1c02bba,2,Computers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x523 at 0x1580F40DAD0>,1100,523,575300,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40D550>
52,../Data\Images\f01140c02fd09e5c56312a64fa8db3da.jpg,f01140c02fd09e5c56312a64fa8db3da,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1716x1231 at 0x1580F40DFD0>,1716,1231,2112396,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40DA50>
53,../Data\Images\6329ddb46087cb8c09ced95471dd9643.jpg,6329ddb46087cb8c09ced95471dd9643,2,Computers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1349x802 at 0x1580F40E4D0>,1349,802,1081898,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40DF50>
54,../Data\Images\7e6ae1b372e8e0b509b83ba3658b8107.jpg,7e6ae1b372e8e0b509b83ba3658b8107,2,Computers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1349x802 at 0x1580F40E9D0>,1349,802,1081898,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40E450>
55,../Data\Images\e2ae2af58ac50adf4881751ae84a9d8a.jpg,e2ae2af58ac50adf4881751ae84a9d8a,2,Computers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1349x802 at 0x1580F40EED0>,1349,802,1081898,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40E950>
56,../Data\Images\24e85c590481a7cedfe66597f253f2b2.jpg,24e85c590481a7cedfe66597f253f2b2,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1335x1884 at 0x1580F40F3D0>,1335,1884,2515140,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40EE50>
57,../Data\Images\5e84d36ad6db970548498829db8b15de.jpg,5e84d36ad6db970548498829db8b15de,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x935 at 0x1580F40F8D0>,1100,935,1028500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40F350>
58,../Data\Images\3c4604dba348a99a2dfbbc2cd3928101.jpg,3c4604dba348a99a2dfbbc2cd3928101,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x935 at 0x1580F40FDD0>,1100,935,1028500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40F850>
59,../Data\Images\0abfcbe0e17dd50c4cf5fb1d6037d514.jpg,0abfcbe0e17dd50c4cf5fb1d6037d514,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=719x1100 at 0x1580F418310>,719,1100,790900,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F40FD50>
60,../Data\Images\4a1b23dacd7d2a9ec7414f7159f25a48.jpg,4a1b23dacd7d2a9ec7414f7159f25a48,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=752x1460 at 0x1580F418810>,752,1460,1097920,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F418290>
61,../Data\Images\95330f6f0f44d17b918feec36bedcdef.jpg,95330f6f0f44d17b918feec36bedcdef,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x942 at 0x1580F418D10>,1100,942,1036200,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F418790>
62,../Data\Images\66a5a21ea332aefcc7b90dbad94053aa.jpg,66a5a21ea332aefcc7b90dbad94053aa,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1570x1109 at 0x1580F419210>,1570,1109,1741130,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F4187D0>
63,../Data\Images\f4e7f269319ba9cf5507a9e2febacbf5.jpg,f4e7f269319ba9cf5507a9e2febacbf5,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=503x2055 at 0x1580F419710>,503,2055,1033665,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F419190>
64,../Data\Images\80e9cb3d2d7f9ff7bc497c34df366d03.jpg,80e9cb3d2d7f9ff7bc497c34df366d03,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x1005 at 0x1580F419C10>,1100,1005,1105500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F419690>
65,../Data\Images\2baa415ebcc4fe563ce13b50e60efc1c.jpg,2baa415ebcc4fe563ce13b50e60efc1c,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x1004 at 0x1580F41A110>,1100,1004,1104400,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F419B90>
66,../Data\Images\903d63e2b71d692ccd628e1de516516e.jpg,903d63e2b71d692ccd628e1de516516e,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1459x771 at 0x1580F41A610>,1459,771,1124889,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41A090>
67,../Data\Images\707b160df4c4dece6cde52b222ce624b.jpg,707b160df4c4dece6cde52b222ce624b,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1362x1351 at 0x1580F41AB10>,1362,1351,1840062,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41A590>
68,../Data\Images\ed9817e8960a6a0d509061c54cfe5ac1.jpg,ed9817e8960a6a0d509061c54cfe5ac1,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1944x2495 at 0x1580F41B010>,1944,2495,4850280,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41AA90>
69,../Data\Images\5a7a1287fef0d986a5e237797beee286.jpg,5a7a1287fef0d986a5e237797beee286,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3233x2357 at 0x1580F41B510>,3233,2357,7620181,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41AF90>
70,../Data\Images\9ba898ecb77ab5a6799c8b047c6b6008.jpg,9ba898ecb77ab5a6799c8b047c6b6008,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1201x539 at 0x1580F41BA10>,1201,539,647339,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41B490>
71,../Data\Images\f2658bad8c2b7d5b08984c6ac34267f7.jpg,f2658bad8c2b7d5b08984c6ac34267f7,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1460x1326 at 0x1580F41BF10>,1460,1326,1935960,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41B990>
72,../Data\Images\afc3ebd18df498dd87abb7ad7536b5c7.jpg,afc3ebd18df498dd87abb7ad7536b5c7,5,Kitchen & Dining,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1000x647 at 0x1580F424450>,1000,647,647000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F41BE90>
73,../Data\Images\141d2b743c477043041faddf9233c8ad.jpg,141d2b743c477043041faddf9233c8ad,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1396x1231 at 0x1580F424950>,1396,1231,1718476,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F4243D0>
74,../Data\Images\7a3f11f380a1bf85338ab3771ff81e9f.jpg,7a3f11f380a1bf85338ab3771ff81e9f,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1427x1293 at 0x1580F424E50>,1427,1293,1845111,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F4248D0>
75,../Data\Images\ae45b64d808a883aa35f2bf4de879cac.jpg,ae45b64d808a883aa35f2bf4de879cac,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1743x1404 at 0x1580F425350>,1743,1404,2447172,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F424DD0>
76,../Data\Images\1971dcd2f3058a4c87bdd7d87d4baeba.jpg,1971dcd2f3058a4c87bdd7d87d4baeba,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x687 at 0x1580F425850>,1100,687,755700,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F4252D0>
77,../Data\Images\4942e0a9c0527dc00319a39fc8f103e6.jpg,4942e0a9c0527dc00319a39fc8f103e6,1,Beauty and Personal Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x510 at 0x1580F425E10>,1100,510,561000,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F4257D0>
78,../Data\Images\0a8a1e9c6659361c0c2b247f8a6471d0.jpg,0a8a1e9c6659361c0c2b247f8a6471d0,4,Home Furnishing,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=4433x2455 at 0x1580F426210>,4433,2455,10883015,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F425DD0>
79,../Data\Images\320833ab08c9a94ef83520612899a85f.jpg,320833ab08c9a94ef83520612899a85f,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x1100 at 0x1580F426710>,1096,1100,1205600,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F426190>
80,../Data\Images\57578c1e6ec61a880a6f3f971f5f77b8.jpg,57578c1e6ec61a880a6f3f971f5f77b8,3,Home Decor & Festive Needs,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=935x1100 at 0x1580F426C10>,935,1100,1028500,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F426690>
81,../Data\Images\4e130ed339dcfe20d2c8b66892278a94.jpg,4e130ed339dcfe20d2c8b66892278a94,3,Home Decor & Festive Needs,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2448x3264 at 0x1580F427110>,2448,3264,7990272,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F426B90>
82,../Data\Images\601817defaff9d0e30e1b72f96d3975f.jpg,601817defaff9d0e30e1b72f96d3975f,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1100 at 0x1580F427610>,1024,1100,1126400,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F427090>
83,../Data\Images\3cdfd9df09f61a8fd178bafcc8dbed31.jpg,3cdfd9df09f61a8fd178bafcc8dbed31,0,Baby Care,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2389x1576 at 0x1580F427B10>,2389,1576,3765064,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F427590>
84,../Data\Images\374e63028d691c380bc43b0dc60e460d.jpg,374e63028d691c380bc43b0dc60e460d,3,Home Decor & Festive Needs,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=878x1336 at 0x1580F434050>,878,1336,1173008,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F427A90>
85,../Data\Images\61c0139f3d5c97f1615797dbf046cc0c.jpg,61c0139f3d5c97f1615797dbf046cc0c,3,Home Decor & Festive Needs,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1100x866 at 0x1580F434550>,1100,866,952600,<PIL.Image.Image image mode=RGB size=224x224 at 0x1580F427F90>
